city,osm_id,type,lat,lon,landuse,leisure,name
Port Harcourt,621395919,way,4.9014383,6.9066547,farmland,,
Port Harcourt,762002895,way,4.8033496,6.9787197,farmland,,
Port Harcourt,762002896,way,4.8055624,6.9775965,farmland,,
Port Harcourt,762002897,way,4.8056024,6.976694,farmland,,
Port Harcourt,762002898,way,4.8040347,6.982441,farmland,,
Port Harcourt,770963852,way,4.8872434,6.989555,farmland,,
Port Harcourt,770963853,way,4.8878033,6.9885573,farmland,,
Port Harcourt,770963858,way,4.8872027,6.9889824,farmland,,
Port Harcourt,770963859,way,4.8882183,6.989382,farmland,,
Port Harcourt,770963861,way,4.8882777,6.9889154,farmland,,
Port Harcourt,770963862,way,4.8875328,6.9898058,farmland,,
Port Harcourt,770963869,way,4.8879777,6.9876292,farmland,,
Port Harcourt,770963932,way,4.8661794,6.9527303,farmland,,
Port Harcourt,770963933,way,4.8658929,6.9530321,farmland,,
Port Harcourt,770963934,way,4.865631,6.9530703,farmland,,
Port Harcourt,770963935,way,4.865816,6.952674,farmland,,
Port Harcourt,770963938,way,4.8652969,6.9521872,farmland,,
Port Harcourt,770963939,way,4.8654712,6.9522208,farmland,,
Port Harcourt,770963940,way,4.8656557,6.952265,farmland,,
Port Harcourt,770963941,way,4.8660559,6.9522395,farmland,,
Port Harcourt,770963947,way,4.8648626,6.9526049,farmland,,
Port Harcourt,770963948,way,4.8648565,6.9523649,farmland,,
Port Harcourt,770988137,way,4.8809646,6.976845,farmland,,
Port Harcourt,770990684,way,4.8679719,6.9688577,farmland,,
Port Harcourt,771001398,way,4.8826316,6.974703,farmland,,
Port Harcourt,771001399,way,4.8827942,6.9743179,farmland,,
Port Harcourt,771001406,way,4.8821824,6.9740191,farmland,,
Port Harcourt,771001411,way,4.8822654,6.9744909,farmland,,
Port Harcourt,771001425,way,4.8817036,6.9751119,farmland,,
Port Harcourt,771001437,way,4.881205,6.9740827,farmland,,
Port Harcourt,771001438,way,4.8811613,6.9747459,farmland,,
Port Harcourt,771001451,way,4.8812156,6.9758615,farmland,,
Port Harcourt,771059399,way,4.8792114,6.9784333,farmland,,
Port Harcourt,771059411,way,4.8797518,6.9756061,farmland,,
Port Harcourt,771084550,way,4.8875899,6.9913666,farmland,,
Port Harcourt,771084551,way,4.8881577,6.9915724,farmland,,
Port Harcourt,771182167,way,4.8872902,6.9931935,farmland,,
Port Harcourt,771182214,way,4.8862467,6.9947143,farmland,,
Port Harcourt,771182215,way,4.8864765,6.9943354,farmland,,
Port Harcourt,771276172,way,4.9032463,7.0011753,farmland,,
Port Harcourt,771276196,way,4.9027466,7.00248,farmland,,
Port Harcourt,771279792,way,4.9022827,7.0026857,farmland,,
Port Harcourt,771379498,way,4.8732664,6.9466773,farmland,,
Port Harcourt,771380670,way,4.8746427,6.946676,farmland,,
Port Harcourt,771693543,way,4.8648376,6.9818336,farmland,,
Port Harcourt,771696537,way,4.8606113,6.9993875,farmland,,
Port Harcourt,771696538,way,4.8597816,7.0010519,farmland,,
Port Harcourt,771698330,way,4.86688,7.0321967,farmland,,
Port Harcourt,771700872,way,4.8722576,6.9572929,farmland,,
Port Harcourt,771710777,way,4.8706981,6.9668569,farmland,,
Port Harcourt,772151766,way,4.8867416,7.0001436,farmland,,
Port Harcourt,1189530446,way,4.8074389,7.0455227,farmland,,
Port Harcourt,1410759657,way,4.9092924,6.9160812,farmland,,Uniport Farmland
Port Harcourt,1416751477,way,4.9036298,6.9075792,farmland,,
Port Harcourt,1416757279,way,4.9065407,6.9148714,farmland,,
Port Harcourt,1416757280,way,4.9087903,6.9173022,farmland,,
Port Harcourt,1418561587,way,4.9076253,6.9240533,farmland,,Institute of Agricultural Research & Development (Teaching & Research Farm) Livestock Unit
Port Harcourt,1418808147,way,4.8971453,6.921731,farmland,,Uniport Farm
Port Harcourt,1484058550,way,4.9458024,6.9732812,farmland,,
Port Harcourt,1484059497,way,4.9470794,6.9760983,farmland,,
